,date,description_ja,episode,segment,show_id,show_ja,show
0,2004-12-28,"松本人志
千原ジュニア（千原兄弟）
ほっしゃん。
宮川大輔
河本準一（次長課長）
佐田正樹（バッドボーイズ）",1,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
1,2005-03-29,"松本人志
千原ジュニア（千原兄弟）
ほっしゃん。
宮川大輔
河本準一（次長課長）
黒田有（メッセンジャー）",2,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
2,2005-09-27,"松本人志
千原ジュニア（千原兄弟）
ほっしゃん。
宮川大輔
河本準一（次長課長）
ケンドーコバヤシ
高橋茂雄（サバンナ）
川島　明（麒麟）",3,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
3,2005-12-27,"松本人志
千原ジュニア（千原兄弟）
ほっしゃん。
宮川大輔
河本準一（次長課長）
ケンドーコバヤシ
有田哲平（くりぃむしちゅー）
矢作　兼（おぎやはぎ）",4,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
4,2006-03-28,"松本人志
千原ジュニア（千原兄弟）
ほっしゃん。
宮川大輔
河本準一（次長課長）
ケンドーコバヤシ
徳井義実（チュートリアル）
綾部祐二（ピース）",5,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
5,2006-06-26,"松本人志
千原ジュニア（千原兄弟）
ほっしゃん。
宮川大輔
河本準一（次長課長）
ケンドーコバヤシ",6,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
6,2006-09-26,"松本人志
千原ジュニア（千原兄弟）
宮川大輔
後藤輝基（フットボールアワー）
トシ（タカアンドトシ）
塚地武雅（ドランクドラゴン）
ハチミツ二郎（東京ダイナマイト）
チャド・マレーン（ジパング上陸作戦）",7,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
7,2006-12-29,"● プレーヤー
松本人志、千原ジュニア（千原兄弟）、ほっしゃん。、宮川大輔、河本準一（次長課長）、ケンドーコバヤシ、関根　勤、水道橋博士（浅草キッド）、小沢一敬（スピードワゴン）、田村　裕（麒麟）
● 超豪華ゲスト
浅野忠信、郷ひろみ、片瀬那奈、黒谷友香、杉本　彩、原沙知絵、山田　優",8,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
8,2007-03-27,"松本人志
千原ジュニア（千原兄弟）
宮川大輔
有野晋哉（よゐこ）
山崎弘也（アンタッチャブル）
吉田敬（ブラックマヨネーズ）
関暁夫（ハローバイバイ）
西野亮廣（キングコング）",9,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
9,2007-06-02,"● プレーヤー
松本人志、千原ジュニア（千原兄弟）、宮川大輔、ほっしゃん。、河本準一（次長課長）、ケンドーコバヤシ、関根勤、木村祐一、東野幸治、宮迫博之（雨上がり決死隊）、大竹一樹（さまぁ～ず）、黒田有（メッセンジャー）、小籔千豊、小杉竜一（ブラックマヨネーズ）、後藤輝基（フットボールアワー）
● 超豪華ゲスト
秋元康、あびる優、安倍なつみ、糸井重里、伊藤裕子、石坂浩二、上原さくら、宇梶剛士、大沢あかね、小倉優子、梶原しげる、片瀬那奈、北島康介、ギャル曽根、黒谷友香、郷ひろみ、小林恵美、佐々木健介、佐田真由美、佐藤藍子、杉崎美香、杉本彩、鈴木杏樹、高樹千佳子、滝沢沙織、田丸麻紀、つんく♂、土岐田麗子、時東ぁみ、戸田菜穂、夏川純、原沙知絵、東原亜希、平山あや、福永ちな、藤井悠、北斗晶、保阪尚希、松井絵里奈、Mie、美川憲一、三津谷葉子、hiroko（mihimaruGT）、miyake（mihimaruGT）、矢口真里、安めぐみ、安田美沙子、山田優、優木まおみ、理衣、若槻千夏　（50音順）",10,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
10,2007-09-25,"松本人志
千原ジュニア（千原兄弟）
宮川大輔
濱口優（よゐこ）
兵動大樹（矢野・兵動）
設楽統（バナナマン）
吉田敬（ブラックマヨネーズ）
加藤歩（ザブングル）
若月徹（若月）",11,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
11,2007-12-29,"◆ プレーヤー
松本人志、千原ジュニア（千原兄弟）、宮川大輔、ほっしゃん。、河本準一（次長課長）、ケンドーコバヤシ、伊集院光、木村祐一、水道橋博士（浅草キッド）、大竹一樹（さまぁ～ず）、兵動大樹（矢野・兵動）、陣内智則、田中直樹（ココリコ）、藤井隆、山崎弘也（アンタッチャブル）、ゴリ（ガレッジセール）、徳井義実（チュートリアル）
◆ 観覧ゲスト
秋元　康、朝日健太郎、ET-KING、飯星景子、家田荘子、石坂浩二、市川由衣、糸井重里、上田桃子、上原さくら、楳図かずお、江川達也、江守　徹、梶原しげる、加藤夏希、キダ・タロー、Kyoco、黒谷友香、小嶺麗奈、斎藤　隆、JESSE、ZEEBRA、SHELLY、水前寺清子、杉本　彩、鈴木杏樹、高樹千佳子、高橋英樹、堤　幸彦、デーブ・スペクター、DJ OZMA、所　英男、富永美樹、内藤剛志、永井　大、永島昭浩、西川史子、林　マヤ、原　沙知絵、東原亜希、平山あや、福田沙紀、細川茂樹、まこと、三倉茉奈・佳奈、宮地真緒、八木沼純子、矢沢　心、安田美沙子、山本　梓、湯浅　卓、湯川れい子、ユンソナ、四元奈生美、リア・ディゾン　（五十音順）",12,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
12,2008-03-25,"◆ プレーヤー
松本人志
千原ジュニア（千原兄弟）
宮川大輔
有田哲平（くりぃむしちゅー）
木下隆行（TKO）
アキ（バイキング）
小籔千豊
青木さやか",13,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
13,2008-06-21,"◆ プレーヤー
松本人志、千原ジュニア（千原兄弟）、宮川大輔、ほっしゃん。、河本準一（次長課長）、ケンドーコバヤシ、兵動大樹（矢野・兵動）、濱口優（よゐこ）、世界のナベアツ、有田哲平（くりぃむしちゅー）、小籔千豊、ゴリ（ガレッジセール）、矢作兼（おぎやはぎ）、秋山竜次（ロバート）、おにぎり（ニューロマンス）、 近藤春菜（ハリセンボン）、中田敦彦（オリエンタルラジオ）
◆ 観覧ゲスト
安倍なつみ、石坂浩二、市川由衣、いとうまい子、上原多香子、遠藤舞（アイドリング！！！）、皆藤愛子、加藤沙耶香（アイドリング！！！）、北川弘美、キダ・タロー、郷ひろみ、酒井瞳（アイドリング！！！）、榊原郁恵、桜井裕美、里田まい、SEAMO、スガシカオ、杉本彩、スザンヌ、鈴木杏樹、DAIGO、大地真央、多岐川華子、田丸麻紀、つるの剛士、つんく♂、ドン小西、内藤剛志、中尾彬・池波志乃夫妻、夏川純、新沼謙治、西山茉希、野久保直樹、野村忠宏、八田亜矢子、長谷部瞳、はるな愛、雛形あきこ、FUNKY MONKEY BABYS、HOME MADE 家族、槇原敬之、松尾貴史、マリエ、武蔵、ムッシュかまやつ、室井佑月、矢口真里、八代亜紀、山崎邦正、山崎真実、山本モナ（50音順）",14,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
14,2008-12-27,"◆ プレーヤー
松本人志、千原ジュニア（千原兄弟）、宮川大輔、ほっしゃん。、河本準一（次長課長）、ケンドーコバヤシ、木村祐一、勝俣州和、兵動大樹（矢野・兵動）、木下隆行（TKO）、小籔千豊、有吉弘行、品川　祐（品川庄司）、ビビる大木、月亭八光、木村卓寛（天津）、塙　宣之（ナイツ）
◆ 観覧ゲスト
青山テルマ、秋吉久美子、綾戸智恵、石坂浩二、乾　絵美（ソフトボール日本代表）、井上康生、遠藤　舞、小畑由香里、皆藤愛子、加藤沙耶香、木下優樹菜、キマグレン、酒井　瞳、杉崎美香、杉本　彩、スザンヌ、鈴木杏樹、鈴木紗理奈、DAIGO、谷本歩実（柔道）、椿姫彩菜、内藤剛志、西岡徳馬、鼠先輩、野村忠宏、袴田吉彦、Perfume、林　遣都、はるな愛、福田沙紀、福田　萌、前園真聖、槇原敬之、三浦大輔（横浜ベイスターズ）、三浦理恵子、三科真澄（ソフトボール日本代表）、misono、峰　幸代（ソフトボール日本代表）、村田修一（横浜ベイスターズ）、山田　優、RIKI、渡辺　徹、渡部豪太（50音順）",15,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
15,2009-06-27,"◆ プレーヤー
松本人志、千原ジュニア（千原兄弟）、宮川大輔、ほっしゃん。、河本準一（次長課長）、ケンドーコバヤシ、勝俣州和、前田政二、なるみ、原西孝幸（FUJIWARA）、松村邦洋、渡部 建（アンジャッシュ）、有吉弘行、後藤輝基（フットボールアワー)、若林正恭（オードリー）、益子卓郎（U字工事）、中山功太
◆ 観覧ゲスト
相田翔子、市川由衣、岩崎宏美、上原美優、宇梶剛士、梅田直樹・益若つばさ夫妻、VERBAL、江守　徹、片山晋呉、金平桂一郎、亀渕友香、CHEMISTRY、さとう里香、里田まい、杉浦太陽、杉本　彩、鈴木杏樹、高樹千佳子、高木美保、滝沢沙織、蝶野正洋、友利　新、内藤大助、永井　大、中尾　彬・池波志乃 夫妻、中田有紀、長野美郷、ニコラスペタス、西村和彦、浜田ブリトニー、濱マリ、藤岡　弘、本仮屋ユイカ、三浦皇成、May J．、茂木健一郎、八代亜紀、山本“KID”徳郁、山本聖子、山本美憂、吉田兄弟、六角精児　（五十音順）",16,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
16,2009-12-26,"◆ プレーヤー
松本人志、千原ジュニア（千原兄弟）、宮川大輔、ほっしゃん。、河本準一（次長課長）、ケンドーコバヤシ、木村祐一、勝俣州和、三又又三、兵動大樹（矢野・兵動）、黒田有（メッセンジャー）、小籔千豊、大溝清人（バッドボーイズ）、後藤輝基（フットボールアワー）、田村裕（麒麟）
◆ 観覧ゲスト
秋野暢子、秋吉久美子、浦田聖子、浦浜アリサ、大和田獏、皆藤愛子、風間トオル、姜　暢雄、京本政樹、小島瑠璃子、郷　ひろみ、五味隆典、杉本　彩、杉山　愛、鈴木杏樹、須藤理彩、Spontania、高田万由子、高橋みゆき、高橋メアリージュン、田中賢介、谷村奈南、田臥勇太、辻　希美、内藤剛志、中尾　彬・池波志乃夫妻、中田有紀、西岡徳馬、羽田美智子、板東英二、別所哲也、ほしのあき、堀内孝雄、前園真聖、松浦亜弥、武蔵、森　理世、山崎武司、若林　豪（五十音順）",17,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
17,2010-06-26,"◆ プレーヤー
松本人志、千原ジュニア(千原兄弟)、宮川大輔、ほっしゃん。、河本準一(次長課長)、ケンドーコバヤシ、兵動大樹(矢野・兵動)、小籔千豊、海原はるか(海原はるか・かなた)、いとうあさこ、大村朋宏(トータルテンボス)、あべこうじ、椿 鬼奴、佐藤哲夫(パンクブーブー)、ねづっち(Wコロン)、橋本直(銀シャリ)、金田哲(はんにゃ)
◆ 観覧ゲスト
赤井英和、浅香光代、浅利陽介、芦名星、五十嵐圭、五十嵐隼士、池田信太郎、石坂浩二、加藤晴彦、菊池桃子、木口亜矢、具志堅用高、西城秀樹、佐ノ山龍二、潮田玲子、篠山輝信、JOY、陣内孝則、杉本彩、鈴木杏樹、辰巳琢郎、次原かな、手塚理美、富田靖子、冨永愛、トリンドル玲奈、内藤大助、中村雅俊、名高達男、名取裕子、はいだしょうこ、ピーター、前田愛、真琴つばさ、松本伊代、萬田久子、みうらじゅん、南果歩、武藤敬司、森口瑤子、山田親太朗、優木まおみ、ローラ・チャン　　計43名（五十音順）",18,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
18,2010-12-25,"◆ プレーヤー
松本人志、千原ジュニア(千原兄弟)、宮川大輔、ほっしゃん。、河本準一(次長課長)、ケンドーコバヤシ、木村祐一、兵動大樹(矢野・兵動)、小籔千豊、桂雀々、ガダルカナル・タカ、コラアゲンはいごうまん、設楽統（バナナマン）、コカドケンタロウ（ロッチ）、バカリズム、塚地武雅（ドランクドラゴン）、若林正恭（オードリー）
◆ 観覧ゲスト
あき竹城、秋本啓之、麻生祐未、石坂浩二、石田衣良、ＩＫＫＯ 、伊藤由奈、今江敏晃、大政絢、片岡鶴太郎、かたせ梨乃、叶恭子、叶美香、上川隆也、川越達也、具志堅用高、楠田枝里子、久保帯人、Ｋ、桜庭和志、佐藤かよ、姿月あさと、柴田理恵、品田英雄、篠原信一、ＪＯＹ、水前寺清子、杉本彩、鈴木亜美、鈴木杏樹、鈴木雅之、Ｓｏｐｈｉａ、田中美里、為末大、津田寛治、内藤剛志、中村獅童、野口五郎、板東英二、真琴つばさ、ミッツ・マングローブ、安田祥子、山咲千里、山下真司、由紀さおり、ユージ、吉川ひなの　計47名（五十音順）",19,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
19,2011-06-25,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、ほっしゃん。、河本準一、ケンドーコバヤシ、木村祐一、兵動大樹、小籔千豊、三遊亭円楽、
ガダルカナル・タカ、勝俣州和、後藤輝基、綾部祐二、真栄田賢、川原豪介（BLUE LIVER）
◆ 観覧ゲスト
石坂浩二、泉谷しげる、伊吹吾郎、大島麻衣、大友康平、岡本玲、忍成修吾、加藤紀子、金子哲雄、木の実ナナ、君沢ユウキ、
具志堅用高、クリス松村、黒川智花、黒田治、ゴスペラーズ、後藤真希、小林麻耶、杉本彩、杉山ハリー、鈴木杏樹、髙田延彦、
高梨臨、天龍源一郎、所英男、冨浦智嗣、内藤大助、内藤剛志、仲川遥香、中村雅俊、平嶋夏海、東国原英夫、笛木優子、
Bro.KONE、茂木健一郎、元木大介、森口瑤子、森田まさのり、三浦理恵子、ローラ、若林豪、渡辺麻友　　計46名（五十音順）",20,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
20,2011-12-23,"◆ プレーヤー
松本人志、千原ジュニア（千原兄弟）、宮川大輔、ほっしゃん。、河本準一（次長課長）、ケンドーコバヤシ、木村祐一、
兵動大樹（矢野・兵動）、小籔千豊、東貴博（Take2）、西尾季隆（X－GUN）、設楽統（バナナマン）、バカリズム、
秋山竜次（ロバート）、又吉直樹（ピース）、田中卓志（アンガールズ）
◆ 観覧ゲスト
秋山成勲、東ちづる、あやまんJAPAN、石坂浩二、石野真子、稲垣潤一、依布サラサ、宇津井健、SDN48、神山まりあ、
片岡安祐美、葛山信吾、岸本加世子、木村了、草野仁、剛力彩芽、小林可夢偉、小柳友、柴田理恵、白石美帆、
パンツェッタ・ジローラモ、SUPER☆GiRLS、杉本彩、鈴木杏樹、平愛梨、高橋惠子、つるの剛士、でんぱ組.inc、内藤剛志、
西岡利晃、西村賢太、はしのえみ、VERBAL、水木一郎、ミッツ・マングローブ、RIP SLYME　　（五十音順）",21,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
21,2012-06-23,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、ほっしゃん。、ケンドーコバヤシ、兵動大樹、小籔千豊、
恵俊彰、設楽統、ビビる大木、塚地武雅、猫ひろし、後藤淳平、渡辺直美、北見寛明
6月16日（土）25時50分から放送の「大輔宮川と準一河本のすべらない話」で行われる予選会より
すべらない話出場者1名が決定！！幸運を手にするのは一体誰…!?
◆ 観覧ゲスト
岡田浩暉、小椋久美子、加賀美セイラ、かたせ梨乃、叶恭子、叶美香、旭天鵬勝、具志堅用高、坂口良子、
坂口杏里、三中元克、重盛さと美、杉本彩、鈴木杏樹、鈴木奈々、DaiGo、大地真央、高橋陽一、長州力、
嗣永桃子、天龍源一郎、冨永愛、豊田エリー、内藤剛志、9nine、永井大、夏川りみ、野口健、白竜、藤波辰爾、
槇原敬之、松山メアリ、むらっち、ムロツヨシ、山村紅葉、ローラ、渡辺真知子（五十音順）",22,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
22,2012-12-29,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、ほっしゃん。、河本準一、
ケンドーコバヤシ、兵動大樹、
小籔千豊、日村勇紀、陣内智則、
多田健二、渡部 建、バカリズム、塚地武雅、大悟、山内健司
◆ 観覧ゲスト
アイドリング!!!(遠藤舞＆橘ゆりか＆大川藍)、秋吉久美子、
いしだ壱成、風間トオル、具志堅用高、
児嶋一哉、
小林可夢偉、佐々木健介、湘南乃風( RED RICE & SHOCK EYE)、
杉本彩、鈴木杏樹、
SUPER☆GiRLS(八坂沙織＆志村理佳＆稼農楓)、
すみれ、芹那、平愛梨、多岐川華子、千葉雄大、
DJ KOO、
内藤剛志、菜々緒、成嶋早穂、西山茉希、彦摩呂、藤田紀子、
北斗昌、前田健太、
マギー、升 毅、的場浩司、萬田久子、
道端アンジェリカ、宮﨑香蓮、ゆでたまご/嶋田隆司、
ローラ、鷲尾真知子、渡部豪太（五十音順）",23,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
23,2013-06-29,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、ほっしゃん。、河本準一、ケンドーコバヤシ、兵動大樹
小籔千豊、宮迫博之(雨上がり決死隊)、濱口優(よゐこ)、矢作兼(おぎやはぎ)、
小峠英二(バイきんぐ)、浜谷健司(ハマカーン)、キンタロー。、アントニー(マテンロウ)
◆ 観覧ゲスト
秋山成勲、井岡一翔、今井華、忍成修吾、菊地亜美、具志堅用高、栗原類、小橋建太、斎藤工
西郷輝彦、酒井美紀、三代目 J Soul Brothers(今市隆二、岩田剛典、ELLY、登坂広臣)
宍戸錠、ジュディ・オング、鈴木亜美、鈴木杏樹、鈴木ちなみ、芹那、ソナーポケット
高岡早紀、高橋メアリージュン、高橋ユウ、武井壮、嗣永桃子、内藤剛志、中村アン、林修
別所哲也、丸高愛実、宮崎亮、May J.、森口瑤子、森山良子、保田圭、LiLiCo、ローラ、若林豪",24,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
24,2014-01-11,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、ほっしゃん。、河本準一、ケンドーコバヤシ、兵動大樹
小籔千豊、木村祐一、勝俣州和、ガダルカナル・タカ、塚地武雅、陣内智則、村本大輔、
中川パラダイス、西澤裕介(ダイアン)
◆ 観覧ゲスト
上原浩治、小澤亮太、尾上松也、菊地亜美、黒田エイミ、℃-ute、クレイジーケンバンド、斎藤工
坂上忍、新川優愛、鈴木杏樹、杉本彩、SUPER☆GiRLS、塚本高史、内藤剛志、中尾明慶
前田健太、MAX、水原希子、美保純、モーニング娘。'14、山本隆弘、ローラ",25,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
25,2014-06-28,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、陣内智則、高橋茂雄 (サバンナ)、バカリズム、
村本大輔（ウーマンラッシュアワー）、井上裕介（NON STYLE）、カンニング竹山、
博多大吉（博多華丸・大吉）、ヒロミ
◆ 観覧ゲスト
織田信成、尾上松也、角野卓造、小島瑠璃子、鈴木杏樹、園子温、大地真央、内藤剛志、山村紅葉",26,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
26,2015-01-10,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、星田英利、河本準一、ケンドーコバヤシ、兵動大樹
小籔千豊、バカリズム、村本大輔（ウーマンラッシュアワー）、
稲垣吾郎(SMAP)、香取慎吾（SMAP）",27,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
27,2015-07-11,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、兵動大樹、小籔千豊、
出川哲朗、博多華丸、渡部建、若林正恭、春日俊彰、坂東英二",28,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
28,2016-01-09,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、兵動大樹、小籔千豊、
井戸田潤、春日俊彰、博多大吉、バカリズム、村本大輔
中居正広",29,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
29,2016-07-09,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、星田英利、河本準一、ケンドーコバヤシ、
兵動大樹、小籔千豊、宮迫博之
古舘伊知郎",30,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
30,2017-01-07,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、
カズレーザー、カンニング竹山、劇団ひとり、バカリズム、渡部建、亜生、好井まさお、
綾小路きみまろ",31,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
31,2018-01-20,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、星田英利、兵動大樹、
小籔千豊、秋山竜次、春日俊彰、
出川哲郎、山内健司、
渡辺直美、チャンス大城、せいや、
宮根誠司",32,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
32,2019-01-12,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、小籔千豊、
稲田直樹(アインシュタイン)、小宮浩信(三四郎)、粗品(霜降り明星)、ノブ(千鳥)、
濱家隆一(かまいたち)、平野ノラ、水田信二(和牛)、
後藤拓実(四千頭身)、大東翔生(ダブルヒガシ)、かごしま太郎",33,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
33,2019-07-27,"◆ プレーヤー
稲田直樹（アインシュタイン）、神田松之丞 ※初出場、小峠英二（バイきんぐ）、
粗品（霜降り明星）、大悟（千鳥）、出川哲朗、バカリズム、塙宣之（ナイツ）、
小林メロディ(ブリキカラス)",34,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
34,2020-01-11,"◆ プレーヤー
松本人志、千原ジュニア、宮川大輔、川島明（麒麟）、後藤拓実（四千頭身）、
小藪千豊、中岡創一（ロッチ）、兵動大樹（矢野・兵動）、
岩橋良昌（プラス・マイナス）、GACKT、ファーストサマーウイカ、古舘伊知郎",35,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
35,2021-01-23,"◆プレイヤー
松本人志、千原ジュニア、宮川大輔、小籔千豊
飯尾和樹(ずん)、川島明(麒麟)、粗品(霜降り明星)
田中卓志(アンガールズ)、兵動大樹(矢野・兵動)、山内健司(かまいたち)
三谷幸喜、清塚信也、R-指定(Creepy Nuts)",36,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
