,date,name_ja,description,show_id,show,show_ja
0,2014-04-23,芸能人たちが持ち寄った説を検証する新番組,競歩の選手 全員 他の競技で挫折した人説 ・ スケバン 絶滅説 ・ 北朝鮮 実はスゴい説 ・ 引退後の力士の髪型が総じておかしいのはマゲで毛穴が後ろに持っていかれているから説 ・ 出産の痛み 未だ芯喰った喩え出ていない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
1,2014-04-30,Episode 002,"SFの未来 読み甘い説 ・ タレント本 出すと危険説 ・ 駄菓子 増税で""あたり""減ってる説 ・ ボディビルダー かなづち説",suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
2,2014-05-07,Episode 003,こぶとりじいさんのこぶの価値観 めちゃくちゃ説 ・ 金太郎のストーリー 誰も知らない説 ・ 昔話にコンプライアンスの波 押し寄せてる説 ・ ホラー映画 製作者の都合でガチガチ説 ・ 街のとてもやっていけてるとは思えない店 実は地主説 ・ 銭湯に桶持ってくる人 絶滅説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
3,2014-05-21,Episode 004,芸能界一肌がキレイなのは綾瀬はるか説 ・ 勝俣州和 ファン0人説 ・ 理科室の人体模型 ただのインテリア説 ・ ロメロスペシャル 相手の協力なくして成立しない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
4,2014-05-28,Episode 005,裁判官 笑いにめちゃくちゃ強い説 ・ 鎖鎌 最弱説 ・ かえるぴょこぴょこ…難しすぎる説 ・ 冬眠から目覚めた熊 その日の夜はさすがに眠くならない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
5,2014-06-04,Episode 006,ウド鈴木 いい人行き過ぎてクレイジー説 ・ 勝俣州和の名前 漢字で書ける人0人説 ・ バケツリレー 実は効率悪いんじゃないか説 ・ ストッキング被って水に落ちるやつ 誰がやっても面白い説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
6,2014-06-11,Episode 007,貧富の差 拡大してる説 ・ バラエティ番組の黒人枠 向こう10年ボビー説 ・ 下駄 世界一走りにくい履物説 ・ 二宮という人のあだ名 100%ニノ説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
7,2014-06-18,Episode 008,くまモンの発音で熊本が割れている説 ・ 営業芸人No.1はテツandトモ説 ・ 福男 選ばれた時点でその年の運使い果たしてる説 ・ 結婚式でコブクロの「永遠にともに」使う人 絶滅説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
8,2014-07-09,Episode 009,宇多田ヒカルの歌唱力 頭2つ抜けてる説 ・ ビートたけし 本気で弟子を売る気ない説 ・ 狩野英孝 実は大喜利最強説 ・ 野球モノマネ芸人 リアルにバッティング上手い説 ・ ランク王国のテーマ どうでもよすぎる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
9,2014-07-16,Episode 010,100歳の人の話 今聞いておかないと後悔する説 ・ コロッケ にらめっこ最強説 ・ 馬の前にニンジンをぶらさげても実際には走らないんじゃないか説 ・ 勉三さんを超える浪人生など存在しない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
10,2014-07-23,Episode 011,"室伏広治 ハンマー投げじゃなければ100億稼げてた説 ・ 売れてる芸人が連れてる後輩芸人 ほぼほぼポンコツ説 ・ スーパーで最も万引きされているのは刺身説 ・ 今dj hondaのキャップ被ってる人 誰も""h""の意味分かってない説",suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
11,2014-07-30,Episode 012,尼崎 日本一愉快な街説 ・ くまだまさし 世界で通用する芸人No.1説 ・ 街中のコワモテがイヤフォンで聴いてる曲 やっぱり長渕説 ・ 東京都練馬区大泉学園町6丁目 陸の孤島説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
12,2014-08-06,Episode 013,PL学園野球部 この世の地獄説 ・ 黒板消しのあのイタズラ 成功率0%説 ・ ロメロスペシャル 整体中にかけられても気付かない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
13,2014-08-13,Episode 014,ゆとり世代の学力 ヤバ過ぎる説 ・ 下積み時代の芸人 行き着く先は謎のバイト説 ・ ドレミの歌 突然の「ソは青い空」はいかがなものか説 ・ 小指の爪だけ伸ばしてる人 絶滅説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
14,2014-08-27,Episode 015,テレビのヴォリューム100 不要説 ・ 10年に1人の逸材 10年に1人以上出ている説 ・ 数珠つなぎ6人で誰の電話番号にでもたどり着ける説 ・ イタコ バラエティ以外の使い道 謎説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
15,2014-09-03,Episode 016,"芸人が今までで""一番面白かった瞬間""は誰が見ても面白い説 ・ モノマネ芸人に音痴いない説 ・ 野村克也 著書の中でエピソードの再生もすごい説",suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
16,2014-09-10,Episode 017,「まわしが取れたら負け」以上に不可解なスポーツのルールはないんじゃないか説 ・ 刑務所を出て最初に食べたいもの ファストフード説 ・ 20歳を超えたサーファーに童貞などいない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
17,2014-10-22,Episode 018,むつみ荘 都内で最もお得説 ・ 双子の対決 なんだかんだで引き分け説 ・ ざわちん 似顔絵描かせたら上手い説 ・ 2千円札 沖縄の中だけで流通している説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
18,2014-10-29,Episode 019,オネエが好きな芸能人No.1 山田ルイ53世説 ・ 勝俣州和の自伝が電車の網棚に置かれていても持って帰る人0人説 ・ ネットに転がる芸能人のイイ話 ほぼほぼデマ説 ・ 絵描き歌 知っていなければ絶対に描けない説 ・ FBI透視捜査官だったらアメリカ横断ウルトラクイズの〇×にダイブするヤツ問題が分からなくても泥まみれにならない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
19,2014-11-05,Episode 020,マンガのあるある 成功率0％説 ・ テキ屋 インチキ説 ・ 中華街のコンビニで肉まん買うヤツ マジで0人説 ・ 全国のご家庭のAIBO 瀕死説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
20,2014-11-12,Episode 021,蛭子能収を超えるクズ そうそういない説 ・ アンガールズ田中の母親 業界で一番NGが少ない説 ・ 甲子園の応援団 どんな曲でも最後「かっとばせ～」につなげられる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
21,2014-11-19,Episode 022,あらゆる業界の現役最年長で山本昌より活躍出来てる人いない説 ・ 徳永英明とMay J.で人気カバー曲 全て押さえてる説 ・ ベタな名前の山田太郎 太郎はともかく山田は謎説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
22,2014-11-26,Episode 023,替え歌 いまだに嘉門達夫が最強説 ・ 美人ならヒッチハイク本州縦断の旅 1日で終わる説 ・ 始球式でストライクを投げた女性いない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
23,2014-12-03,Episode 024,レオパルドンよりも一瞬で殺されたものなどいない説 ・ 女子中高生の人気No.1芸人NON STYLE そんなわけない説 ・ 浪速の〇〇 何でもあり説 ・ コロナの瓶に入ったライム 処分する人めちゃ困ってる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
24,2014-12-10,Episode 025  season finale,大友康平 普通にも歌える説 ・ クワマンの箸の持ち方 信じられない説 ・ 「おべんとうばこのうた」のおかず 渋すぎる説 ・ 布袋のギターを遠目から携帯で撮影するとQRコードと認識されどこかのホームページに飛ぶんじゃないか説 ・ ジャイアントスイング かけた方とかけられた方のダメージ とんとん説 ・ 村会議員なら誰でもなれる説 ・ 漢字4文字以上の苗字で名前が3文字以上の人の親 どうかしてる説 ・ 香川県のソバ屋でうどん置いてる店 マジで0軒説 ・ ハイキングウォーキング もうさすがにコーラ一気飲みしてもゲップをせずに山手線の駅名 全部言える説 ・ 現実に2度見なんて無い説 ・ 目出し帽 犯罪者しか買ってない説 ・ ボルゾイを飼っている人の自宅 豪邸説 ・ 一発屋のライブ 一発の曲を歌うのはやっぱりラスト説 ・ 芸人の宣材写真 総じて古すぎる説 ・ 今の小学生 かっけ検査しても反応しない説 ・ ボロボロの自販機 実は中身入ってるんじゃないか説 ・ ぴの ボルトより速い説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
25,2015-01-07,Episode 026,天龍源一郎以上のハスキーいない説 ・ バレーボールマシン バラエティでしか使っていない説 ・ ハマダー生存説 ・ 「ざます」をマジで使っている金持ちなどいない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
26,2015-01-14,Episode 027,忘年会の日本エレキテル連合 地獄説 ・ 金田一のトリック アクロバティックすぎてほぼSASUKE説 ・ 子役の泣きスイッチ たいてい母親を殺している説 ・ シンバルだけで食べている人などいない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
27,2015-01-21,Episode 028,一番痛い凶器 なんだかんだでパイプ椅子説 ・ テレビ番組のBGM ロッキーに頼りすぎ説 ・ 子供は正直者というが実は意外に気を使っている説 ・ 床屋 ほぼゴルゴ置いてある説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
28,2015-01-28,Episode 029,2014年 一番ドッキリにかけられたの俺説 ・ 罰ゲームの足ツボ ヒクソン・グレイシーでもギブアップする説 ・ ブックオフの福袋 買うヤツどうかしてる説 ・ コインランドリーで年越しちゃうヤツ 人生に絶望してる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
29,2015-02-04,Episode 030,林家ペー ピンクの服しか持っていない説 ・ タメ口ハーフ 年下にタメ口きかれても 怒る訳にいかない説 ・ 早食い対決 メニューが餅ならジャイアント白田よりすすり餅おじいさんの方が強い説 ・ アパートに住んでるフェラーリオーナー マジで0人説 ・ 獅子舞 プロがやっても たむけんがやっても 大差ない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
30,2015-02-18,Episode 031,バレンタインの定番曲 むこう100年「バレンタイン・キッス」説 ・ さすがのヨネスケでもカメラなしでは晩ごはん食べさせてもらえない説 ・ 「箱の中身は何だろな？」クイズ王ならマジで当てられる説 ・ ジャイアント白田と篠原信一 そっくりだから何かと互角説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
31,2015-03-04,Episode 032,携帯の予測変換「す」に絶対「すみません」入ってる説 ・ ウーマンラッシュアワー村本以上にコンビ解散してるクズいない説 ・ ボクサー じゃんけんの時 やっぱりグー出しがち説 ・ 天龍源一郎以上のハスキーいない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
32,2015-03-11,Episode 033,オファーがないだけで人知れず眠ってる歌うまタレント存在する説 ・ 外見の自己評価「上の上」って言う女子0人説 ・ プロ野球のヒーローインタビュー 第一声は必ず「そうですね」説 ・ 網で上げて捕獲するやつ 落とし穴より面白い説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
33,2015-03-18,Episode 034,パー子の笑い声を足したらVTR3割増しで面白くなる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
34,2015-04-15,Episode 035,面白いミックスルール対決 まだまだある説 ・ ・ベン・ジョンソン vs お坊さん「正座100m走」 ・ ・アーチェリー選手 vs ジョッキー「流鏑馬」 ・ ・大食い日本一 vs ボウリング日本一「大食いボウリング」 ・ 松本人志 メキシコからきた謎のマスクマンとしてプロレス会場に登場してもバレない説 ・ 「結果発表」のコールが日本一上手いの浜田雅功説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
35,2015-04-22,Episode 036,アスリートが仕掛け人のドッキリ 大根すぎて逆に面白いんじゃないか説 ・ 大阪人でも本物そっくりの拳銃でバーンとやられたら さすがに「やられたー」とは言わない説 ・ 年金貰ってるドレッドなどいない説 ・ オシャレ女子が首から下げてる一眼レフには雲・猫・ラテアートのいずれかの写真が入ってる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
36,2015-04-29,Episode 037,ホトトギス 肝心の鳴き声 誰も知らない説 ・ とにかく明るい安村の全裸に見えるポーズのネタ ものすごく太っている人なら穿いていなくても安心説 ・ 最も足の臭い芸能人 ドクターフットに聞けば分かる説 ・ 半チャーハン 半分より少ない説 ・ ハンチングを被ってる人 8割方ハゲてる説 ・ 忘年会で使った日本エレキテル連合グッズ もう捨てられてる説 ・ 誕生日ケーキのロウソク 80本が限界説 ・ ドリフのセット転換の曲をかけたら店の回転率上がる説 ・ サーティワンのダブル 同じ味で頼むヤツ0人説 ・ クールポコ。ネタをやり続ければマジで餅 完成する説 ・ SADSの「忘却の空」サビを一発で聞き取れる人 0人説 ・ ぼんちおさむ 溜めて言えば何でも面白い説 ・ 小さい「ヮ」シークヮーサー以外に使い道ない説 ・ ヘッドスライディング 赤字説 ・ ネット検索のヒット数 最も多い芸人「和牛」説 ・ 井森ダンス もう見られない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
37,2015-05-06,Episode 038,ドラマの電車と並走するシーン ベン・ジョンソンならホームの端まで並走できる説 ・ 尼崎ならありとあらゆる芸人ランキングでダウンタウンが1位説 ・ オネエとオナベ 相撲をとったらトントン説 ・ 受験で合格してテンションの上がった学生 勢いで何でも答えてくれる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
38,2015-05-20,Episode 039,有名人の身内 気をつけないと悪いモノマネ芸人にオレオレ詐欺で騙される説 ・ 「早朝」をつけたら何でも面白くなる説 ・ ハライチのノリボケ漫才 漫才のフォーマットとして最強説 ・ とにかく明るい安村 全裸に見えるポーズで1日過ごせる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
39,2015-05-27,Episode 040,アントニーの相方 誰も知らない説 ・ 松野明美を超える大根などいない説 ・ どんなアーティストにも外見を寄せにいってるファンいる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
40,2015-06-03,Episode 041,SNSを張り込んでいれば芸能人に会える説 ・ ごきげんよう大賞のトロフィー 絶対家に飾ってある説 ・ Tシャツに書いてある2ケタ数字 23が一番多い説 ・ 天龍源一郎以上のハスキーいない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
41,2015-06-10,Episode 042,美人の変顔しょうもない説 ・ オファーがないだけで人知れず眠ってる歌うまタレント まだまだ存在する説 ・ パンパンのリュック背負ってる社長 マジで0人説 ・ 内陸国 海軍要らない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
42,2015-07-08,Episode 043,SASUKE 猿なら完全制覇できる説 ・ 大食いミックスルール対決第3弾 「大食いクイズ」 ・ 怪談のオチの定番「お前だー」一番上手いの大仁田厚説 ・ 松本人志 ロシアのスパイ説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
43,2015-07-15,Episode 044,徳川慶喜を生で見た事がある人 まだギリこの世にいる説 ・ どんなプロにでも10人束になれば勝てる説 ・ ルー大柴 英語禁止ボウリング 最弱説 ・ すき家築地店でまぐろ丼頼むヤツ マジで0人説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
44,2015-07-22,Episode 045,歌うま外国人なら日本人アーティストの歌モノマネも上手い説 ・ アスリート 日常生活にも競技の動きついつい出ちゃう説 ・ 芸名に「くん」とか「ちゃん」が付く人 後輩からは「くん」とか「ちゃん」の部分を「さん」に変えて呼ばれてる説 ・ 連続1位の記録 意外なモノにストップされてる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
45,2015-07-29,Episode 046,「あなたの奥さん誰に似てますか?」と聞かれた旦那の回答 基本 目線下げてくる説 ・ 苗字と名前の組み合わせが絶妙な人 結婚が原因としか考えられない説 ・ 関東の師匠の方が関西の師匠より面白い説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
46,2015-08-05,Episode 047,知り合いで一番面白い人を紹介してもらっていくと最終的に松本人志にたどり着く説 ・ 日本地図 四国がオーストラリアに変わっていても意外と気付かない説 ・ 宇多田ヒカル/First Loveの「誰を思ってるんだろう」の部分 カラオケで全員「誰を思ってるんだはー」と歌う説 ・ 一発ギャグ芸人 全員ひじとひざのギャグ持ってる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
47,2015-08-12,Episode 048,芸人が今までで一番面白かった瞬間は誰が見ても面白い説 ・ タマちゃんを見守る会 まだ見守ってる説 ・ 夏の沖縄で日サロに行くヤツ どうかしてる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
48,2015-08-19,Episode 049,ゴミ屋敷の住人 意外と何がどこにあるか把握してる説 ・ 人から借りパクしているモノ 最も多いのファミコンのカセット説 ・ 暖房と冷房2台同時につけたら室温微動だにしない説 ・ アダルトショップから出てきて取材受けてくれる人 マジで0人説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
49,2015-09-09,Episode 050,バラエティで一番こすられてる昔の写真 オレの説 ・ 成城じゃないのに成城を名乗る図々しい店 山ほどある説 ・ きびだんごでは犬・猿・キジは手なずけられない説 ・ ミックスルール対決 「素潜りクイズ」,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
50,2015-09-16,Episode 051,下層YouTuber 地獄説 ・ 早朝シリーズ第2弾「早朝十種」 ・ 国道1号線に落ちてる服を拾いながら歩いたら名古屋くらいで全身揃う説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
51,2015-09-30,Episode 052,番組ゆかりの隠れ歌うまメンバーによる「We Are The World」 ・ ・オファーがないだけで人知れず眠ってる歌うまタレント存在する説 ・ ・SASUKE 猿なら完全制覇できる説 ・ ・ロメロスペシャル 整体中にかけられても気付かない説 ・ ・歌うま外国人なら日本人アーティストの歌モノマネも上手い説 ・ ・天龍源一郎以上のハスキーいない説(#032 2015.03.04) ・ ・「早朝」をつけたら何でも面白くなる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
52,2015-10-07,Episode 053,ボビー・オロゴン 白くしたら〇〇にソックリ説 ・ ダンソンでホンモノの鹿 よってくるんじゃないか説 ・ 腕時計を見る時 全員グー説 ・ 内藤大助 DJ KOOに扮装して街を歩いてもバレない説 ・ 「婆さんや」という爺さんいない説 ・ 五木ひろし 握力強い説 ・ バールのようなもの バール説 ・ スタン・ハンセンのあの雄叫び 実は「ウィー」ではない説 ・ カラオケの女子十二楽坊 謎説 ・ ポール・マッカートニー 知らない人が見たらおばあさん説 ・ 「田中」のハンコ ひっくり返したら「中田」でもいける説 ・ 東京23区のぼっとん便所 絶滅説 ・ 芸人の名前だけでいい感じの歌詞作れる説 ・ ポンセ さすがにもうマリオ感ない説 ・ リウマチに効かない温泉などない説 ・ 富士サファリパークの歌の人 和田アキ子のモノマネメチャクチャ上手いんじゃないか説 ・ ウ〇コさん・チ〇コさん 存在する説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
53,2015-10-28,Episode 054,美女と野獣のカップルはいるが その逆はいない説 ・ 浜田の似顔絵を描かせたら全員くちびるを強調する説 ・ 芸人のお馴染みのくだり 素人にフラれてもなんだかんだでやる説 ・ お試し特番のMC設定 「所長」が一番多い説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
54,2015-11-04,Episode 055,女芸人の中で一番ビジネスキスしてるの私説 ・ UFOに連れ去られた人が集まれば もちろん答え一致する説 ・ アンパンマン風のグレーなパン 横行してる説 ・ 横山ホットブラザーズを知らない世代にあの音を聞かせたら 絶対に「お前はアホか」には聞こえない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
55,2015-11-11,Episode 056,ハンマー投日本2位 誰も知らない説 ・ どんな美人でも免許証では7割の力しか出せない説 ・ 矢沢ファン 基本 車のナンバー「830」にしてる説 ・ 近年のプロレス 表現の幅 広がってる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
56,2015-11-25,Episode 057,2015年のハロウィン さすがにHGの仮装いない説 ・ 芸人なのにエビの食レポで「プリプリ」使ったら終わり説 ・ ちくわぶとタージンの知名度 関東と関西でちょうど真逆の結果 出る説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
57,2015-12-09,Episode 058,2015年 最も学園祭に呼ばれたの俺説 ・ 帰巣本能 ハトよりヒトの方が優れてる説 ・ 水族館の水槽 ウニの代わりに栗が入っていても気付かない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
58,2015-12-16,Episode 059  season finale,芸能人 自分のLINEスタンプ一応持ってる説 ・ プレゼントで一番喜ぶ子供 ウチの子供説 ・ 大事にされていない歴史的な場所 意外とある説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
59,2016-01-02,Episode 060,2015年 一番ドッキリにかけられたの俺説 ・ 荒れる成人に童貞いない説 ・ カラオケボックスで年越しする客 新年一発目はやっぱり盛り上がる曲説 ・ ウ○コさん・チ○コさん 存在する説 ・ クロちゃん TBSの連ドラ出演が決まってメチャクチャ勘ぐってる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
60,2016-02-03,Episode 061,松野明美 何でも信じる説 ・ 7つの言語経由したら さすがに話の意味変わってくる説 ・ 水戸なら 今でも印籠の効果あるんじゃないか説 ・ ちゃんこの味と相撲の強さ その両方を兼ね備えた店こそ最強のちゃんこ屋説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
61,2016-02-10,Episode 062,昔のあだ名 容赦ない説 ・ 「スシ食いねェ!」曲のテンポで歌詞通りに寿司食うの不可能説 ・ ボディブロー じわじわ効いてこない説 ・ スキャットマンでカラオケ100点取るの不可能説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
62,2016-02-17,Episode 063,ZARD 曲のタイトル絶対サビに持ってくる説 ・ 早朝リアル脱出ゲーム ・ 「あなたは○○で拾った子なのよ」ネタ 2016年も1位は橋の下説 ・ 鬼の角 1本と2本だったら2本が主流説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
63,2016-02-24,Episode 064,SNSを張り込んでいれば芸能人に会える説 ・ どんなモノでも 一週間煮込めば一緒説 ・ 松本人志の親戚 さすがに10親等離れたらその自覚ない説 ・ 人生で1度もホームラン打ったことないプロ野球選手などいない説 ・ 浜田雅功の「結果発表」でカラス撃退できる説 ・ この3人のやつ 誰がやっても面白い説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
64,2016-03-02,Episode 065,美人なら芸能人の電話番号1つは知ってる説 ・ 説教食らった後 カラオケで明るい曲は歌いづらい説 ・ 空手家 日常会話でも「押忍」ついつい出ちゃう説 ・ K-1やM-1みたいな○-1グランプリ AからZまで全て存在する説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
65,2016-03-16,Episode 066,受験シリーズ第2弾 大学合格リアクションクイズ ・ おじいさん 愛する孫の描いた自分の似顔絵なら絶対分かる説 ・ 土下座 効果絶大説 ・ ノブコブ吉村 破天荒の意味すぐ忘れちゃう説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
66,2016-03-23,Episode 067,ランク王国とSPコラボ 渋谷の女性200人に聞いたもう一度見たい説TOP10,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
67,2016-04-02,Episode 068,ツッコミ芸人 日常生活でも常にツッコミのスイッチ入ってる説 ・ ゲーム×現実 ミックスカート対決 ・ ものまねショーに本人がそっくりさんとして出ても意外と気付かれない説 ・ 日本一多い曲のタイトル「さくら」説 ・ ダウンタウンに1番詳しいのは誰だ?ダウンタウンクイズ(ダウンタウンのこと 本人よりもマニアの方が詳しいんじゃないか説),suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
68,2016-04-27,Episode 069,バンジーの直後 ちょっと身長伸びてる説 ・ 布袋のギター あみだくじも出来る説 ・ 猿ぐつわ そこそこ喋れる説 ・ 林先生、針すなおが似顔絵描いたらメチャしっくりくる説 ・ 雨の日はフィレオフィッシュがよく出る説 ・ ハリセンボン春菜 じゃねーものだけでカルタ作れる説 ・ 背中にバカとかの紙を貼られるイタズラ 自力で気付くの不可能説 ・ 剣道部の小林、あだ名ケンコバ説 ・ おじさんのシュート トーキック説 ・ 「どしどし」の後に続く言葉「応募」以外ない説 ・ いなごの佃煮に虫が入っていても「すみません 虫入ってるんですけど」とは言わない説 ・ 誰もいない部屋にプロレスマスクがあったら誰でも一度は被ってみたくなる説 ・ 「ゆで太郎」創業者の写真 盛ってる説 ・ ジッタリンジン「プレゼント」の歌詞に出てくるモノ 全て揃う説 ・ 貞子の曲のタイトル、誰も知らない説 ・ 電話で音声途切れた時「もしもし」いろんなパターンで言う説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
